,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
87,EA-194,CookieTheft,-0.27107658415,0.0513190643834,-0.0283959438112,-0.56340908644,-0.0586797066015,-0.321138984117
88,EA-194,PupilCalib,-0.00896549435564,0.0375708069344,0.0637171680093,-0.303473455823,-0.0864398224926,-0.0107304155168
89,EA-195,EA-195_allsc,-0.00675350803634,0.0971353602161,0.307186101606,-0.438799684127,0.0762042642801,-0.250592261121
90,EA-195,Reading,0.0731365937379,0.0509785655974,0.307186101606,-0.356672808634,0.0659384048434,-0.00592261121348
91,EA-195,Memory,-0.0538558791388,0.0659594494099,0.27296657015,-0.431955777836,0.122400631745,-0.250592261121
92,EA-195,CookieTheft,-0.126011956169,0.0716806957708,0.182284811793,-0.438799684127,0.060805475125,-0.161621479337
93,EA-195,PupilCalib,0.00841248648186,0.0458511067504,0.156620163201,-0.288233745723,0.0762042642801,-0.00421163464069
94,EE-031,CookieTheft,-0.00301328180478,0.0646199755711,0.248062374556,-0.17267253358,-0.0383202099738,-0.103728578045
95,EE-050,EE-050_allsc,-0.00271502448152,0.0995259657099,0.924718905424,-0.355562866487,-0.125713622201,0.0912468794148
96,EE-050,Reading,-0.0217215941315,0.124038939924,0.924718905424,-0.252452925125,-0.067714280185,-0.0548255375148
97,EE-050,CookieTheft,0.00512570127868,0.0846193943719,0.641166566679,-0.252452925125,-0.0440849186229,-0.0977880130823
98,EE-050,PupilCalib,-0.000184603649685,0.0974883954881,0.370502970604,-0.222379192228,-0.125713622201,0.052580651404
99,EE-057,EE-057_allsc,0.103073672454,0.0568533972027,0.409860337149,-0.28921168598,0.0310335983586,0.146243792115
100,EE-057,Reading,0.0879296000996,0.0382810398101,0.409860337149,-0.28921168598,0.0739933316235,0.116953064888
101,EE-057,Memory,0.143770765872,0.0576246751036,0.284886567651,-0.144710764998,0.132574786076,0.146243792115
102,EE-057,CookieTheft,0.128582476503,0.0520036642261,0.300508288839,-0.082223880249,0.0447026043974,0.0388444589522
103,EE-057,PupilCalib,0.000504563965174,0.031845057016,0.109142204295,-0.0939401711395,0.0310335983586,-0.0373114318357
104,EE-087,PupilCalib,-0.00129101739004,0.134425062243,0.318080340569,-0.282191916442,-0.0387248471648,0.221533054476
105,EE-093,EE-093_allsc,0.0600647931933,0.0875104921769,0.582361897801,-0.255886472989,0.0108289177173,0.134100736951
106,EE-093,Reading,-0.000162583142652,0.0540091704187,0.577879286193,-0.255886472989,-0.0945124550825,0.0310006699555
107,EE-093,Memory,0.167951518883,0.0728621939847,0.582361897801,-0.220025580121,0.0982398440831,0.134100736951
108,EE-093,CookieTheft,0.0698205360307,0.045066786757,0.284268225836,-0.125890736342,0.00858761191303,0.0578963396066
109,EE-093,PupilCalib,0.00520029906859,0.0664076843029,0.313405201291,-0.184164687253,0.0108289177173,-0.081064620257
110,EE-100,EE-100_allsc,-0.00933142555505,0.112574623582,0.54021686357,-0.407994821168,0.32950315585,0.0284835733938
111,EE-100,Reading,-0.0647011467595,0.0898547188637,0.535199870529,-0.407994821168,-0.0241948535362,0.0435345525166
112,EE-100,CookieTheft,-0.00457080924147,0.0813215700819,0.32950315585,-0.212332092572,-0.0919242595889,0.00339860818903
113,EE-100,PupilCalib,0.00123640243401,0.114239483443,0.404758051465,-0.277553002104,0.32950315585,-0.117009224794
114,EE-105,EE-105_allsc,-0.00160397703223,0.0835123794474,0.656424435286,-0.312014189577,-0.0710000521676,-0.119202879649
115,EE-105,Reading,-0.0453809754233,0.0804372549801,0.411028222651,-0.307632114351,0.0341697532474,-0.136731180552
116,EE-105,Memory,0.0215023894931,0.0786306804166,0.375971620846,-0.294485888674,0.108665032083,-0.119202879649
117,EE-105,CookieTheft,0.00795759235995,0.0752704163318,0.656424435286,-0.312014189577,0.222598987949,0.213834837498
118,EE-105,PupilCalib,-0.0120540725196,0.161766354264,0.441702749231,-0.2988679639,-0.0710000521676,0.297094266785
119,EE-126,EE-126_allsc,0.0437454048652,0.0651548095117,0.825334382376,-0.494230264883,-0.0112772095463,0.13512981904
120,EE-126,Reading,0.0387791861988,0.0648583847519,0.825334382376,-0.494230264883,-0.0188827694729,0.133228429058
121,EE-126,CookieTheft,0.0641245929466,0.0575440168727,0.349986886966,-0.231838447417,0.0381589299764,0.0952006294257
122,EE-126,PupilCalib,0.00110690361951,0.0459103929132,0.156045108838,-0.197613427747,-0.0112772095463,-0.197613427747
