,interview,task,meandistance,stddevdistance,maxdistance,mindistance,startdistance,enddistance
329,EY-088,CookieTheft,651.597403691,6.10546301185,666.62,635.71,661.26,651.38
330,EY-088,PupilCalib,655.764201128,5.52759953794,663.82,645.06,658.7,650.8
331,HA-0002,HA-0002_allsc,658.332075605,7.1476453691,670.47,625.46,666.43,644.79
332,HA-0002,Reading,660.308874637,4.04752346313,670.47,638.91,660.22,666.79
333,HA-0002,Memory,649.302298745,5.51049693731,665.0,625.46,662.73,644.79
334,HA-0002,CookieTheft,660.378806971,3.36036031091,670.12,645.25,663.36,662.05
335,HA-0002,PupilCalib,668.070670554,0.884146694781,670.16,664.98,666.43,668.5
336,HA-006,HA-006_allsc,661.395419772,22.064119933,752.39,430.23,733.87,666.06
337,HA-006,Reading,652.332499406,24.46670949,678.72,430.23,669.99,579.26
338,HA-006,Memory,653.687891351,13.6954076614,684.97,546.74,647.13,666.06
339,HA-006,CookieTheft,661.701301147,10.5323966888,725.65,626.44,678.05,673.18
340,HA-006,PupilCalib,719.550667161,8.27898637696,752.39,685.79,733.87,744.73
341,HA-016,HA-016_allsc,714.125886948,16.5413526552,800.86,661.84,697.92,740.26
342,HA-016,Reading,718.604994369,14.0749181587,748.19,661.84,722.07,733.43
343,HA-016,Memory,718.272503618,14.8630290878,800.86,677.82,720.79,740.26
344,HA-016,CookieTheft,703.200131822,18.0971442085,728.1,662.27,713.77,687.3
345,HA-016,PupilCalib,697.314208145,1.15510865896,700.5,692.72,697.92,695.43
346,HA-018,Reading,688.194635939,8.83696848001,709.51,538.46,690.07,679.86
347,HA-018,CookieTheft,685.539659496,7.55915885767,701.13,533.36,681.86,684.44
348,HA-018,PupilCalib,688.593132428,1.2896355486,691.51,682.89,687.57,688.67
349,HA-019,HA-019_allsc,684.482110842,29.0201277925,710.97,351.72,695.04,658.55
350,HA-019,Reading,687.719920444,4.94299951089,709.61,666.7,691.78,685.77
351,HA-019,Memory,678.704455485,29.7646704037,698.18,351.72,687.94,658.55
352,HA-019,CookieTheft,687.759361038,37.0673741769,710.97,416.27,695.67,693.61
353,HA-019,PupilCalib,695.265653519,1.1139695473,697.82,692.3,695.04,697.3
354,HA-025,HA-025_allsc,645.330172847,15.8823898968,700.81,463.39,646.21,640.0
355,HA-025,Reading,640.730956204,7.27756043782,660.02,607.73,655.34,617.45
356,HA-025,Memory,653.878815841,24.3793929755,700.81,463.39,656.78,640.0
357,HA-025,CookieTheft,641.419636499,5.32400302434,658.77,628.05,646.6,639.41
358,HA-025,PupilCalib,643.10602381,1.69155290035,647.09,640.05,646.21,643.05
359,HA-027,HA-027_allsc,717.810555965,5.63498023835,732.45,687.6,724.24,724.53
360,HA-027,Reading,717.918050373,5.71724926464,730.31,697.17,729.8,723.82
361,HA-027,Memory,720.867211079,4.7423012729,728.37,687.6,724.57,724.53
362,HA-027,CookieTheft,714.908400337,4.88705770577,732.45,701.2,723.34,714.23
363,HA-027,PupilCalib,722.829963154,0.895043833965,725.07,717.02,724.24,723.02
364,HA-039,HA-039_allsc,649.594753788,6.01046753229,682.35,622.12,661.28,660.74
365,HA-039,Reading,647.240745605,4.48940685598,655.01,630.73,651.99,648.59
366,HA-039,Memory,652.260448467,6.59855030566,682.35,630.01,650.06,660.74
367,HA-039,CookieTheft,647.730405864,4.4942649261,666.32,622.12,655.74,647.91
368,HA-039,PupilCalib,659.131742134,1.02417226904,661.82,656.58,661.28,658.27
369,HA-044,HA-044_allsc,712.102162524,5.41251361008,737.98,669.69,719.71,713.25
370,HA-044,Reading,710.989402198,7.96220438957,737.98,669.69,709.98,704.82
371,HA-044,Memory,712.947015939,3.78616080932,726.42,670.74,715.07,713.25
372,HA-044,CookieTheft,710.870989542,4.92480156104,731.92,685.37,718.49,702.33
373,HA-058,HA-058_allsc,641.060994714,13.5111095852,691.21,539.39,646.25,645.51
374,HA-058,Reading,636.932755613,10.5244613088,657.35,608.25,644.97,630.46
375,HA-058,Memory,635.671442861,21.16612699,691.21,544.27,631.45,645.51
376,HA-058,CookieTheft,645.314814363,10.9366927451,682.75,539.39,644.09,648.12
377,HA-058,PupilCalib,647.400483129,1.24478608556,651.65,645.02,646.25,646.37
378,HA-065,HA-065_allsc,735.289189859,11.560764179,789.56,646.16,742.88,727.71
379,HA-065,Reading,739.903198055,10.7703366958,763.65,684.42,761.08,753.61
380,HA-065,Memory,732.854908743,12.7882064025,789.56,646.16,747.81,727.71
381,HA-065,CookieTheft,734.632607042,11.2029982942,760.05,681.85,739.23,715.54
382,HA-065,PupilCalib,738.403559846,2.75075289527,744.8,732.9,742.88,737.64
383,HA-066,HA-066_allsc,676.34344487,9.78937778505,705.49,523.62,667.44,687.77
384,HA-066,Reading,667.646583957,12.6122253599,689.94,523.62,675.99,674.8
385,HA-066,Memory,683.718759556,5.9072090635,700.73,594.47,683.84,687.77
386,HA-066,CookieTheft,674.907339092,6.36188179133,705.49,615.93,673.65,674.68
387,HA-066,PupilCalib,671.786493399,0.854419025984,674.04,667.29,667.44,673.2
388,HA-068,HA-068_allsc,636.532663593,10.1700985493,659.97,559.38,647.97,632.1
389,HA-068,Reading,638.200973669,7.37075877746,650.71,597.3,633.18,636.64
390,HA-068,Memory,631.684105004,13.8197326109,659.97,559.38,643.01,632.1
391,HA-068,CookieTheft,637.95920354,4.39456616962,652.41,626.66,649.01,639.31
392,HA-068,PupilCalib,647.214306437,1.11499906181,649.63,644.43,647.97,647.16
393,HA-077,HA-077_allsc,649.939331645,9.77525589602,686.72,558.18,659.94,640.65
394,HA-077,Reading,655.431757137,7.87755409531,686.72,575.88,648.75,653.69
395,HA-077,Memory,640.556506947,5.87010882954,654.45,558.18,651.07,640.65
396,HA-077,CookieTheft,657.08348102,4.45602527071,674.05,602.93,656.8,652.75
397,HA-077,PupilCalib,659.994940014,1.3221160438,664.84,656.92,659.94,661.38
398,HA-082,HA-082_allsc,667.680686427,14.924433121,725.64,418.0,681.12,669.87
399,HA-082,Reading,662.944148581,6.89732454318,679.16,623.47,662.03,662.97
400,HA-082,Memory,671.000171496,17.1355599779,725.64,418.0,697.06,669.87
401,HA-082,CookieTheft,659.90728193,7.04739848239,682.22,635.44,676.38,659.61
402,HA-082,PupilCalib,679.366933657,1.09166191269,682.66,675.69,681.12,680.74
403,HA-086,HA-086_allsc,688.098438296,17.277628942,733.01,636.64,683.34,697.85
404,HA-086,Reading,676.947900018,11.6847118293,708.53,636.64,651.0,684.1
405,HA-086,CookieTheft,677.653072687,6.10950185877,696.46,653.79,664.04,684.81
406,HA-086,PupilCalib,680.663026197,8.39752650023,697.36,637.6,683.34,684.77
407,HA-089,HA-089_allsc,675.282984016,14.597726069,858.9,648.19,677.35,672.73
408,HA-089,Reading,673.861614319,10.481021653,713.6,653.77,692.68,660.49
409,HA-089,Memory,674.46154181,8.82002073654,712.99,655.45,672.68,672.73
410,HA-089,CookieTheft,676.432446043,18.898411141,858.9,648.19,670.16,664.95
411,HA-089,PupilCalib,675.483554717,7.97097531992,730.2,667.87,677.35,673.8
412,HA-092,HA-092_allsc,627.392458043,15.581323278,671.31,565.1,661.36,614.07
413,HA-092,Reading,630.012090909,10.4170184242,657.63,586.25,645.75,630.38
414,HA-092,Memory,619.872749669,13.4410183821,645.01,565.1,628.38,614.07
415,HA-092,CookieTheft,635.447206334,16.8256991031,671.31,579.58,661.36,613.4
416,HA-103,HA-103_allsc,629.195312318,14.7103643742,745.39,373.39,644.2,632.75
417,HA-103,Reading,633.932364797,8.82028579879,661.63,580.44,643.97,650.16
418,HA-103,Memory,621.959271574,9.54587904452,745.39,566.18,630.63,632.75
419,HA-103,CookieTheft,630.224109898,16.7267757604,661.72,373.39,648.0,634.01
420,HA-103,PupilCalib,650.575563114,5.82940972504,664.67,644.04,644.2,648.39
421,HA-104,HA-104_allsc,591.553421297,15.4205187515,799.78,450.78,602.38,581.91
422,HA-104,CookieTheft,587.82545108,11.4140584379,778.38,500.41,593.74,564.59
423,HA-104,PupilCalib,613.502997333,3.54055220287,623.38,602.38,602.38,614.45
424,HA-108,Reading,668.67498803,21.7749418835,903.22,530.42,681.39,664.27
425,HA-108,PupilCalib,695.720896287,1.39531653356,700.82,691.9,694.75,692.95
426,HA-113,HA-113_allsc,721.141519037,21.7663611813,1002.4,543.03,734.61,711.47
427,HA-113,Reading,723.945198435,24.4860125549,1002.4,652.6,718.4,715.93
428,HA-113,Memory,707.27989464,30.4974614507,738.92,543.03,713.45,711.47
429,HA-113,CookieTheft,720.76202799,5.9021341921,747.09,666.63,728.33,724.49
430,HA-113,PupilCalib,733.882921434,0.846176181693,735.89,732.11,734.61,733.08
431,HA-128,HA-128_allsc,688.125577218,14.2021489606,738.62,648.78,671.53,704.09
432,HA-128,Reading,688.169978822,4.41436942748,705.3,674.19,685.36,684.54
433,HA-128,Memory,694.523858462,8.79200104797,738.62,665.7,695.05,704.09
434,HA-128,CookieTheft,663.689382366,4.21481659854,679.05,648.78,664.2,664.18
435,HA-128,PupilCalib,664.350256211,2.66905697292,671.53,658.91,671.53,663.43
436,HA-142,HA-142_allsc,691.802256149,9.87953268584,724.16,664.07,692.78,697.67
437,HA-142,Reading,681.176624222,6.55145660656,695.19,664.07,687.02,687.69
438,HA-142,Memory,699.578175986,5.06597452657,724.16,686.96,714.89,697.67
439,HA-142,CookieTheft,686.958340289,4.83194784871,697.34,669.0,697.34,685.37
440,HA-142,PupilCalib,690.798236301,0.952340717466,693.53,687.97,692.78,690.67
441,HA-154,HA-154_allsc,650.835865806,10.2541769199,677.11,460.21,655.07,657.7
442,HA-154,Reading,647.038376479,10.854873569,677.11,460.21,657.22,664.92
443,HA-154,Memory,659.649191705,6.31438442103,668.31,627.89,664.11,657.7
444,HA-154,CookieTheft,650.967967009,9.39870272206,664.67,548.38,655.44,644.66
445,HA-154,PupilCalib,651.49713352,1.7584655322,655.79,647.86,655.07,649.84
446,HA-159,HA-159_allsc,765.647545171,12.0362398549,799.86,581.53,773.97,732.26
447,HA-159,Reading,766.395215237,7.18658914482,783.88,743.23,775.32,762.71
448,HA-159,CookieTheft,763.096037495,14.9815344107,780.79,581.53,764.01,754.79
449,HA-159,PupilCalib,769.55662781,3.79602757746,776.25,759.0,773.97,765.02
450,HA-163,HA-163_allsc,638.413596473,5.14639900526,650.16,605.21,646.03,636.05
451,HA-163,Reading,638.522928864,5.20277422384,650.16,612.52,642.21,642.47
452,HA-163,Memory,636.207352813,3.64532267617,644.12,605.21,642.98,636.05
453,HA-163,CookieTheft,636.857659574,3.92500439977,644.75,619.45,644.75,634.08
454,HA-163,PupilCalib,646.291333333,1.15809677294,649.81,643.92,646.03,644.06
455,HA-172,HA-172_allsc,651.162232429,14.0634173328,805.5,609.99,657.43,683.29
456,HA-172,Reading,650.069824103,16.9738396159,805.5,609.99,657.17,653.4
457,HA-172,Memory,660.536147594,13.1913392472,710.41,639.82,672.77,683.29
458,HA-172,CookieTheft,645.84391189,9.75037278703,706.2,622.82,650.54,633.59
459,HA-172,PupilCalib,652.936561404,3.06373520732,659.72,643.76,657.43,650.27
460,HA-177,HA-177_allsc,610.42382583,15.3736386659,649.3,428.82,649.12,624.36
461,HA-177,Reading,608.089898669,10.9101590048,627.42,555.96,607.48,610.71
462,HA-177,Memory,607.860217089,13.6821410652,636.66,428.82,621.05,624.36
463,HA-177,CookieTheft,604.648928571,9.1259969173,621.45,581.59,610.04,591.39
464,HA-177,PupilCalib,645.082602076,1.44952543007,649.3,641.1,649.12,644.13
465,HA-181,Reading,666.811805132,12.2114555067,685.05,560.29,654.48,658.24
466,HA-181,CookieTheft,660.009315868,6.73766825731,680.61,530.44,656.7,662.33
467,HA-181,PupilCalib,655.2233695,1.10303027738,658.73,651.03,655.46,654.93
468,HA-192,HA-192_allsc,647.452156481,12.806182329,685.59,566.36,650.1,639.51
469,HA-192,Reading,646.091831959,13.3790989029,685.59,620.48,668.91,632.31
470,HA-192,Memory,644.075593993,16.2928801901,674.51,566.36,638.64,639.51
471,HA-192,CookieTheft,651.062361166,8.46131113051,671.99,628.98,653.87,638.71
472,HA-192,PupilCalib,650.234667697,1.29271532876,655.82,647.6,650.1,650.92
473,HA-196,HA-196_allsc,664.857662102,6.79432027426,686.6,645.4,662.81,665.95
474,HA-196,Reading,663.48112007,6.26679702687,679.81,647.14,665.03,660.65
475,HA-196,Memory,666.930008036,7.66308039476,686.6,651.26,671.6,665.95
476,HA-196,CookieTheft,663.847486865,6.20040643386,681.01,645.4,663.79,671.56
477,HA-196,PupilCalib,664.098607199,0.974717886143,665.97,662.2,662.81,663.72
478,HC-116,HC-116_allsc,686.259242401,10.2088124735,769.23,650.47,691.31,695.84
479,HC-116,Reading,681.467154764,10.8979828437,707.77,651.05,701.57,676.19
480,HC-116,Memory,696.631629942,4.57418574208,769.23,687.71,704.31,695.84
481,HC-116,CookieTheft,685.310697652,9.33933228334,709.63,650.47,693.61,685.11
482,HC-116,PupilCalib,689.142778281,0.995882451647,691.67,686.95,691.31,688.77
483,HE-012,HE-012_allsc,694.173605102,13.1836722267,720.16,615.57,686.47,676.78
484,HE-012,Reading,689.577253907,12.2518879272,708.15,615.57,692.23,690.29
485,HE-012,Memory,688.647439439,15.8603320401,716.67,634.61,698.41,676.78
486,HE-012,CookieTheft,703.418276476,7.23684989112,720.16,676.13,687.12,709.55
487,HE-012,PupilCalib,692.857358621,1.18416845215,695.72,686.47,686.47,694.44
488,HE-022,HE-022_allsc,628.096983459,14.2946914924,670.29,577.92,653.11,628.31
489,HE-022,Reading,625.493215464,12.7023086492,652.93,583.89,614.92,630.48
490,HE-022,Memory,619.233905905,11.1584978909,643.12,579.67,598.56,628.31
491,HE-022,CookieTheft,633.403011318,12.4830972691,670.29,577.92,642.73,622.19
492,HE-022,PupilCalib,649.576115166,3.99442831228,655.31,638.86,653.11,649.56
493,HE-030,HE-030_allsc,640.99269282,6.38956796967,660.73,601.87,631.07,656.2
494,HE-030,Reading,642.031875418,5.11569198965,654.46,620.79,646.85,641.38
495,HE-030,Memory,648.897175194,3.3915460402,660.73,632.57,649.3,656.2
496,HE-030,CookieTheft,639.239459203,5.17064576413,655.31,601.87,632.04,649.6
497,HE-030,PupilCalib,630.62816758,2.06951316192,635.06,625.61,631.07,631.2
498,HE-078,HE-078_allsc,665.140067788,8.35350280592,697.6,480.73,662.37,566.93
499,HE-078,Reading,659.369288946,7.20384645899,674.92,634.28,660.93,665.37
500,HE-078,Memory,670.383653239,8.8051335159,697.6,480.73,668.35,566.93
501,HE-078,CookieTheft,662.656389058,2.97560697289,676.65,650.38,661.77,655.75
502,HE-078,PupilCalib,663.136185484,0.984280999424,666.48,660.12,662.37,662.78
503,HE-095,HE-095_allsc,663.45416447,15.214833965,704.4,409.41,668.34,652.6
504,HE-095,Reading,665.414655369,17.240615663,704.4,630.25,667.98,691.53
505,HE-095,Memory,663.044164981,11.607742055,700.1,606.24,682.99,652.6
506,HE-095,CookieTheft,662.916527951,16.0589970015,699.51,409.41,686.1,660.56
507,HE-095,PupilCalib,671.670383693,0.746788224775,673.58,668.34,668.34,670.94
508,HE-099,CookieTheft,594.831780858,7.08641064393,688.69,506.34,597.94,626.47
509,HE-099,PupilCalib,614.417461929,3.01883432225,621.42,608.36,612.63,609.17
510,HE-115,HE-115_allsc,674.431630299,12.8803748593,748.54,577.44,690.85,666.34
511,HE-115,Reading,672.114827586,14.383628358,695.67,577.44,688.04,662.38
512,HE-115,CookieTheft,675.904736093,13.246274933,748.54,601.83,687.47,664.81
513,HE-115,PupilCalib,686.685246914,4.01710215777,694.4,672.59,690.85,677.65
514,HE-119,HE-119_allsc,639.506521711,10.0527937279,660.22,586.3,658.07,605.19
515,HE-119,Reading,639.972824454,5.74212956749,658.03,621.07,644.42,635.55
516,HE-119,Memory,626.878680683,10.9193345348,652.61,586.3,641.15,605.19
517,HE-119,CookieTheft,643.280840404,4.11886683367,654.24,632.57,652.24,643.57
518,HE-119,PupilCalib,654.181267399,1.76580282295,660.22,651.0,658.07,654.85
519,HE-130,HE-130_allsc,673.413451651,6.74388578841,710.45,648.67,662.1,663.01
520,HE-130,Reading,673.936506761,6.58045197201,694.71,658.24,689.15,666.83
521,HE-130,Memory,677.107598662,7.26345445938,694.55,650.78,668.27,663.01
522,HE-130,CookieTheft,671.009150203,5.25448847001,710.45,648.67,670.59,672.02
523,HE-130,PupilCalib,668.237491456,1.53907208477,672.41,662.1,662.1,668.98
