,interview,task,mean_Latency,med_Latency,sd_Latency,mean_Latency_f,med_Latency_f,sd_Latency_f,mean_Latency_b,med_Latency_b,sd_Latency_b,prop_dir_f,fallinAOI
136,HI-041,CookieTheft,550.0,491.5,-1.0,325.0,8.5,-1,723.714285714,650.0,-1.0,0.375,0
137,HI-042,CookieTheft,1616.0,1300.0,-1.0,1407.375,1225.0,-1,2043.33333333,2712.5,-1.0,0.6,0
138,HI-045,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
139,HI-052,CookieTheft,928.416666667,508.5,-1.0,634.8,8.0,-1,1031.25,646.0,-1.0,0.333333333333,0
140,HI-097,CookieTheft,652.5,770.5,-1.0,700.0,700.0,-1,831.666666667,845.5,-1.0,0.166666666667,0
141,HI-120,CookieTheft,595.75,691.5,-1.0,94.0,9.0,-1,670.0,691.5,-1.0,0.25,0
142,HI-121,CookieTheft,381.972222222,308.0,-1.0,690.076923077,145.5,-1,591.323529412,491.5,-1.0,0.472222222222,0
143,HI-131,CookieTheft,485.714285714,108.0,-1.0,621.0,241.5,-1,539.142857143,200.0,-1.0,0.285714285714,0
144,HI-132,CookieTheft,472.666666667,500.0,-1.0,780.875,208.0,-1,494.923076923,500.0,-1.0,0.466666666667,0
145,HI-134,CookieTheft,764.315789474,325.0,932.272018758,435.333333333,9.0,-1,812.222222222,437.5,-1.0,0.368421052632,0
146,HI-144,CookieTheft,1064.36363636,500.0,-1.0,1536.16666667,1066.5,-1,714.777777778,500.0,-1.0,0.363636363636,0
147,HI-148,CookieTheft,717.833333333,687.5,-1.0,1647.33333333,1775.0,-1,506.4,408.0,-1.0,0.166666666667,0
148,HL-060,CookieTheft,282.416666667,245.5,-1.0,62.25,8.0,-1,331.083333333,266.5,-1.0,0.333333333333,0
149,HL-062,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
150,HL-074,CookieTheft,976.2,791.0,1317.17470367,1077.33333333,8.0,-1,762.25,824.5,-1.0,0.6,0
151,HL-111,CookieTheft,131.25,116.5,-1.0,31.5,13.0,-1,550.0,267.0,-1.0,0.5,0
152,HL-145,CookieTheft,783.6,733.0,-1.0,1233.83333333,912.5,-1,713.666666667,641.0,-1.0,0.4,0
153,HL-168,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
154,HL-176,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
155,HN-183,CookieTheft,579.041666667,371.0,-1.0,971.1875,75.0,-1,630.0,595.5,-1.0,0.5,0
156,HO-032,CookieTheft,542.0,525.0,-1.0,474.875,104.0,-1,523.0,525.0,-1.0,0.4375,0
157,HO-033,CookieTheft,373.909090909,292.0,-1.0,413.125,308.5,-1,593.181818182,292.0,-1.0,0.454545454545,0
158,HO-038,CookieTheft,383.347826087,242.0,-1.0,539.125,17.0,-1,632.347826087,458.0,-1.0,0.521739130435,0
159,HO-070,CookieTheft,323.363636364,133.0,-1.0,626.6,717.0,-1,338.2,137.5,-1.0,0.272727272727,0
160,HO-071,CookieTheft,234.5,58.5,-1.0,82.7,9.0,-1,489.4,375.0,-1.0,0.5625,0
161,HO-072,CookieTheft,914.363636364,608.0,-1.0,873.5,504.0,-1,807.444444444,759.0,-1.0,0.363636363636,0
162,HO-075,CookieTheft,798.8,709.0,853.586735069,1275.75,1203.5,-1,751.230769231,792.0,-1.0,0.333333333333,0
163,HO-106,CookieTheft,106.25,17.0,177.325971025,266.833333333,9.0,-1,236.375,200.5,176.528376918,0.5,0
164,HO-124,CookieTheft,554.5,308.0,-1.0,546.6,217.0,-1,581.285714286,316.5,-1.0,0.214285714286,0
165,HO-136,CookieTheft,180.666666667,9.0,-1.0,8.5,8.5,-1,591.333333333,525.0,-1.0,0.666666666667,0
166,HO-158,CookieTheft,490.8,295.5,-1.0,864.428571429,516.0,-1,1065.9,841.5,-1.0,0.4,0
167,HO-162,CookieTheft,665.571428571,59.0,-1.0,1087.5,600.5,-1,430.666666667,312.5,-1.0,0.428571428571,0
168,HO-165,CookieTheft,795.166666667,579.5,1045.02630096,961.714285714,542.0,-1,865.636363636,942.0,-1.0,0.416666666667,0
169,HO-187,CookieTheft,1616.33333333,1791.0,-1.0,2883.0,2883.0,-1,983.0,983.0,-1.0,0.333333333333,0
170,HO-188,CookieTheft,594.142857143,575.0,-1.0,1158.33333333,983.0,-1,671.571428571,575.0,-1.0,0.285714285714,0
171,HO-193,CookieTheft,311.266666667,67.0,-1.0,339.0,166.0,-1,327.4,134.0,-1.0,0.133333333333,0
172,HP-138,CookieTheft,503.666666667,300.0,582.564159557,260.25,21.0,-1,865.666666667,625.0,778.122419674,0.333333333333,0
173,HR-014,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
174,HR-047,CookieTheft,452.25,467.0,-1.0,411.0,358.0,-1,633.333333333,842.0,-1.0,0.5,0
175,HR-102,CookieTheft,375.083333333,200.5,-1.0,258.166666667,58.0,-1,510.0,242.0,-1.0,0.333333333333,0
176,HR-107,CookieTheft,597.133333333,475.0,-1.0,718.5,500.0,-1,640.384615385,475.0,-1.0,0.333333333333,0
177,HR-110,CookieTheft,676.0,300.0,-1.0,1122.71428571,659.0,-1,603.888888889,342.0,-1.0,0.3,0
178,HR-133,CookieTheft,894.142857143,709.0,-1.0,2149.0,2149.0,-1,894.142857143,709.0,-1.0,0.0,0
179,HR-151,CookieTheft,1068.4,825.0,855.008070137,2395.5,2395.5,-1,1068.4,825.0,855.008070137,0.0,0
180,HR-179,CookieTheft,1082.06666667,942.0,-1.0,1069.16666667,962.0,-1,1049.23076923,733.0,-1.0,0.266666666667,0
181,HS-085,CookieTheft,1414.53846154,742.0,-1.0,998.714285714,675.0,-1,1735.77777778,1441.0,-1.0,0.538461538462,0
182,HT-064,CookieTheft,715.571428571,225.0,-1.0,964.5,899.5,-1,756.142857143,342.0,-1.0,0.285714285714,0
183,HU-048,CookieTheft,524.888888889,434.0,-1.0,117.0,9.0,-1,710.0,866.0,-1.0,0.222222222222,0
184,HU-079,CookieTheft,952.538461538,658.0,-1.0,844.8,658.0,-1,923.583333333,696.0,-1.0,0.307692307692,0
185,HU-081,CookieTheft,771.0,800.0,-1.0,914.0,1000.0,-1,871.4,879.0,-1.0,0.363636363636,0
186,HU-153,CookieTheft,836.461538462,408.0,-1.0,578.428571429,309.0,-1,809.0,538.0,-1.0,0.384615384615,0
187,HV-160,CookieTheft,386.363636364,142.0,-1.0,162.5,8.0,-1,491.727272727,359.0,-1.0,0.454545454545,0
